Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HIFtarg	DPM_1A2A	speckleChangingPT2399	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2	RTTA_DPMfc	RTTA_DPMpadj	DPMup	RTTA_1A2A	RTTA_1A2Apadj	1A2Aup
MAGT1	1218.5086162835	0.0744804621594746	0.147811235355865	0.50388904456524	0.614339349564105	0.905173585476239	No	ns	No	22.3332	29.3298	29.89435	1.28444641708e-06	0.247339985448	2.00950053425e-09	1.00102	46.8256	12.7908	61.7297	0.0400729829082	0.809710259416	No	0.114553445068	0.490074543806	No
TMBIM6	14434.0687263558	-0.238773360434767	0.159239290805388	-1.4994625963675	0.133753665106398	0.605223145309388	Yes	ns	Yes	214.6023	300.19225	233.29585	3.29411562078e-05	2.66080411162e-10	0.834677351192	920.941	868.109	765.337	839.079	-0.0438374080929	0.805549976626	No	-0.282610768528	0.112491473131	No
ITGA2B	31.0793309304661	-0.267910265906533	0.85940620825113	-0.311738806788147	0.755239032999081	0.948487961374038	No	ns	No	0.2682	0.1463	0.16985	0.392034245751	0.400669230363	0.28705454563	915.157	780.798	743.092	946.967	0.0588103076479	0.951459457818	No	-0.209099958259	0.82853470642	No
PHACTR4	313.99327587579	0.199132078690812	0.172437094182779	1.15480998815566	0.248168245985701	0.712211020068054	No	ns	No	8.7704	11.51185	10.2638	2.17025965208e-06	0.0432937261855	0.000670716743819	785.914	724.851	642.434	712.95	-0.399042537896	0.0399980583504	No	-0.199910459206	0.298754093742	No
NLGN2	428.568541606799	0.0633043383658394	0.240860779271038	0.262825432008603	0.792685132548973	0.958935466341166	No	ns	Yes	5.0025	3.1078	3.8888	2.24034499323e-07	0.0170526285328	2.9107206304e-06	1338.37	1151.4	1155.74	1243.38	-0.254977765451	0.345499628506	No	-0.191673427085	0.476948885163	No
NUP107	1948.48962950605	0.0105495381703723	0.171054181363001	0.0616736643694476	0.950822712822468	0.992258228221051	No	ns	No	4.3451	3.1609	4.422	1.54335491947e-11	4.25761827602e-20	0.939695201064	136.584	115.34	107.554	125.795	0.22134910098	0.249009039968	No	0.231898639151	0.226691782516	No
VMP1	6132.44441924996	-0.211700466198645	0.116392489643978	-1.81884988323727	0.068934335602241	0.511676499248965	No	ns	No	38.0669	14.6985	25.22115	2.54228309763e-11	7.09303492868e-10	0.000256319830487	404.858	350.914	392.067	454.242	-0.104361702123	0.422982139458	No	-0.316062168322	0.0152111730505	No
NR1D1	81.6227933758576	-0.407339531466073	0.27715643712155	-1.46970979890115	0.141640367689752	0.615336652659733	No	ns	Yes	12.8986	6.6709	10.75145	7.94831845088e-07	0.0049093263284	0.00241191954471	1333.7	1218.47	961.426	1154.85	0.227623958126	0.471611270711	No	-0.17971557334	0.570425199404	No
NR1D2	645.492617536795	0.26573487710941	0.242274457912628	1.09683405918606	0.272713938499471	0.724964318405409	No	ns	No	4.5639	11.98435	9.88125	1.54107146516e-33	0.167435741521	1.47346981878e-12	1.00102	3.11429	27.3613	15.349	-0.222210326359	0.413759826295	No	0.0435245507502	0.872469365206	No
UFSP1	106.642626081784	-0.627419944900135	0.260511137970577	-2.40841888676176	0.0160217861315373	0.371406697451848	No	dpm	No	1.5555	1.2108	0.6384	7.63174596567e-06	3.85488334853e-14	4.59179840269e-21	1946.1	1754.35	1655.25	1916.62	1.06150297904	0.000498378728514	Yes	0.434083034135	0.156515852648	No
OGFR	1721.01088389663	-0.246938584791302	0.316384130386609	-0.780502436988711	0.435095193660752	0.829449464673786	No	ns	No	19.6341	6.66935	10.0229	6.93421089787e-36	3.77185773902e-12	8.09119257266e-34	1842.88	1644.01	1702.96	1814.85	0.346639317434	0.327692756601	No	0.0997007326428	0.778295214419	No
PTCH1	38.7095756683521	0.349125342605623	0.545791081288654	0.639668463950183	0.522388161968289	0.86779316310019	No	ns	No	0.6747	1.8514	1.23465	1.7599585358e-49	1.02712530949e-08	1.3655462631e-18	72.8522	100.992	55.946	167.616	-0.0264434779988	0.965973396261	No	0.322681864607	0.599720195326	No
TIMM44	549.508517840683	-0.232007751211316	0.170948913906954	-1.35717592998336	0.174725316860852	0.649105932274849	No	ns	Yes	9.8614	5.78115	5.6663	2.49009265343e-24	0.60095341789	3.99411284948e-28	1332.25	1186.1	1392.53	1257.62	0.355930477735	0.0659984440836	No	0.123922726523	0.521665397891	No
RAD9A	224.728356824052	-0.0713760461367881	0.202037168259113	-0.353281758756627	0.723877219396431	0.937760277476345	No	ns	Yes	4.0024	1.8812	2.5146	2.50922599808e-16	8.43551942027e-07	3.716482772e-15	1570.6	1550.03	1323.8	1512.1	-0.09309505037	0.683626828835	No	-0.164471096507	0.469339363332	No
ERGIC2	765.116889281821	-0.31531684475955	0.182527028560319	-1.72750768610331	0.0840765260026567	0.541595147946971	No	ns	No	6.0649	5.8743	7.32345	0.32053589122	6.01369225586e-06	1.56109677498e-07	1.00102	1.00102	1.00102	1.00102	0.166700386824	0.41643296541	No	-0.148616457936	0.468686491385	No
ERGIC3	2923.94677502045	-0.218202357896729	0.157751006918804	-1.38320738585865	0.166601285708761	0.643882610370315	No	ns	Yes	42.0645	31.24175	28.89895	2.04686862914e-11	0.00498650715703	7.43248761696e-21	1293.88	1244.72	1080.88	1117.7	0.133537946911	0.44984381422	No	-0.0846644109856	0.631766424682	No
ERGIC1	4824.67979359662	-0.160372747362805	0.382929833567265	-0.418804525802594	0.675358996973566	0.921308961501342	Yes	ns	Yes	30.5619	15.7908	31.1451	1.10287685829e-14	9.86527792563e-17	0.745028771667	595.608	552.008	443.119	463.585	0.317911794456	0.457887221343	No	0.157539047094	0.712968441172	No
B3GAT3	701.928284090428	-0.483193515427037	0.185255319709296	-2.60825716737996	0.00910045557021955	0.329240481829666	No	dpm	Yes	26.3499	12.53565	11.8314	2.38957239657e-21	0.0139355645518	1.00249257128e-34	1246.94	1142.28	1119.37	1294.43	0.23672227804	0.25522595131	No	-0.246471237387	0.236603943411	No
CALM2	7835.5337676608	-0.1612918514867	0.180578212543561	-0.893196633274855	0.371751880735039	0.794460398142632	No	ns	No	46.0734	52.74175	39.48535	0.773649526069	9.80851249003e-07	0.00428941941921	208.101	163.389	170.952	224.229	0.103404307802	0.608742222454	No	-0.0578875436847	0.774427170711	No
CALM3	3536.77146770565	0.0709124148067911	0.173343104083377	0.409087025306081	0.682475797564778	0.924041076082175	No	ns	Yes	67.6134	45.5776	58.5102	7.56083236011e-18	4.12180965386e-07	9.19482241225e-08	885.126	809.605	651.443	825.51	-0.0713538750812	0.71312712889	No	-0.000441460274423	0.998183853784	No
SPG21	1393.25563614012	-0.0990984645708051	0.219721630789087	-0.451018246200488	0.65197639846915	0.916741451481607	No	ns	No	25.0984	25.19095	21.9759	0.544964617992	1.71696256436e-07	8.47801077741e-07	198.759	249.366	235.685	161.498	0.0456180872261	0.85301434148	No	-0.0534803773447	0.827937566215	No
CALM1	7702.69786340306	0.162606736780465	0.248788228565453	0.653594978018364	0.513372780559362	0.86493864920095	Yes	ns	No	51.5152	73.02885	59.9514	7.34313888767e-16	5.9239241694e-05	3.84104639961e-05	107.109	119.789	67.1797	143.146	-0.0878646787941	0.752173054109	No	0.0747420579864	0.788188712162	No
DLGAP4	551.726668177739	0.164316885572392	0.221066498661804	0.743291663671621	0.457305117544626	0.841851829320128	Yes	ns	Yes	11.1129	5.3856	8.3178	6.52836883987e-21	1.58132923037e-16	2.6706618895e-12	836.41	778.35	769.23	811.829	-0.516306015113	0.0369815279015	No	-0.351989129541	0.153621670719	No
DLGAP5	935.902226497886	0.37957768555054	0.219071136819912	1.73266862563721	0.0831545840458607	0.539884925020006	No	ns	No	0.9219	0.09155	0.69085	6.30718207852e-05	6.39098583633e-08	0.0264181365548	107.888	54.2777	34.146	11.7898	-0.328224933221	0.181557566646	No	0.0513527523296	0.833965603551	No
SRSF10	40.0020696080269	0.244668963465765	0.324504368119206	0.753977411410026	0.450862785539053	0.838755154334775	No	ns	Yes	6.4716	6.57275	7.6189	0.69897312966	0.000130980702659	5.29429998234e-07	792.921	735.974	700.604	628.197	0.10667898767	0.781455620975	No	0.351347951136	0.349748660366	No
FBXL14	251.619131980133	-0.00592197524205597	0.297629532268902	-0.019897135868579	0.984125429939681	0.997615898373202	No	ns	No	4.2377	5.4043	5.3874	1.59465930343e-07	0.657528630513	1.45803590523e-07	311.207	222.338	298.082	325.777	0.195736661027	0.560079052006	No	0.189814685785	0.571086100058	No
OIP5	203.910378156319	0.0223031231541287	0.274938689631529	0.0811203515373524	0.935346240838581	0.990123940008377	No	ns	No	0.3915	0.11535	0.29635	9.57292349305e-16	1.6044333231e-10	0.0111135243913	534.546	481.603	364.483	471.704	0.278233752709	0.372678250286	No	0.300536875864	0.333860880886	No
FBXL19	1108.03761985024	-0.106427392025631	0.198464174915133	-0.536254928987265	0.591782375532799	0.896497009861989	No	ns	Yes	4.4803	2.42905	2.87335	1.71940860901e-15	0.00196029796517	1.03602798592e-15	1390.98	1336.48	1121.7	1365.95	0.147734139632	0.507233902173	No	0.0413067476062	0.852771063267	No
PTPN18	590.830724740885	0.0216542177662463	0.200454485843247	0.108025608282868	0.913975378600398	0.98418128659976	No	ns	No	22.4931	11.16895	15.74795	2.27818477225e-26	8.22766361079e-10	2.5889565724e-18	319.215	226.342	273.724	255.928	0.287103707014	0.204748412525	No	0.30875792478	0.171633353397	No
LRRFIP2	442.32133098408	0.120661269447247	0.120509177567344	1.0012620771544	0.316700121836257	0.759752042200213	No	ns	No	5.1329	4.44975	4.64895	4.99395889513e-06	0.00749701019902	0.112827991574	173.511	56.5022	119.344	123.459	-0.136098705574	0.322109784301	No	-0.0154374361268	0.909520050956	No
